,Unnamed: 0,Titles,Released,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio,Runtime_mins
808,808,Joy Ride,2001,1h 37min,75,6.6,373,161,John Dahl,Clay Tarver,New Regency Productions,23000000,21974919,36642838,2.39 : 1,97
809,809,Universal Soldier,1992,1h 42min,35,6.0,165,107,Roland Emmerich,Richard Rothstein,StudioCanal,23000000,36299898,36299898,2.39 : 1,102
810,810,Tomorrow Never Dies,1997,1h 59min,52,6.5,411,105,Roger Spottiswoode,Bruce Feirstein,Eon Productions,110000000,125304276,333011068,2.39 : 1,119
811,811,Speed Racer,2008,2h 15min,37,6.0,469,286,Lana Wachowski,Lilly Wachowski,Warner Bros.,120000000,43945766,93945766,2.35 : 1,135
812,812,Transcendence,2014,1h 59min,42,6.2,571,378,Wally Pfister,Jack Paglen,Alcon Entertainment,100000000,23022309,103039258,2.35 : 1,119
813,813,Lethal Weapon 2,1989,1h 54min,70,7.2,206,88,Richard Donner,Jeffrey Boam,Warner Bros.,28000000,147253986,227853986,2.39 : 1,114
814,814,End of Days,1999,2h 2min,33,5.8,553,170,Peter Hyams,Andrew W. Marlowe,Beacon Communications,100000000,66889043,211989043,2.39 : 1,122
815,815,Johnny English,2003,1h 29min,51,6.2,332,129,Peter Howitt,Neal Purvis,Universal Pictures,40000000,28082366,160466000,1.85 : 1,89
816,816,The Postman,1997,2h 57min,29,6.1,439,87,Kevin Costner,David Brin,Tig Productions,80000000,17626234,17626234,2.39 : 1,177
817,817,Kung fu,2004,1h 39min,78,7.7,450,380,Stephen Chow,Stephen Chow,Columbia Pictures Film Production Asia,20000000,17108591,104882445,2.39 : 1,99
818,818,The Mountain Between Us,2017,1h 52min,48,6.4,370,172,Hany Abu-Assad,Chris Weitz,Chernin Entertainment,35000000,30348555,62832209,2.35 : 1,112
819,819,Hotel Artemis,2018,1h 34min,58,6.1,381,200,Drew Pearce,Drew Pearce,The Ink Factory,15000000,6708147,13313581,2.39 : 1,94
820,820,Seventh Son,2014,1h 42min,30,5.5,223,191,Sergei Bodrov,Charles Leavitt,Beijing Skywheel Entertainment Co.,95000000,17223265,114178613,2.39 : 1,102
821,821,Rise of the Guardians,2012,1h 37min,58,7.3,233,271,Peter Ramsey,David Lindsay-Abaire,DreamWorks Animation,145000000,103412758,306941670,1.85 : 1,97
822,822,USS Indianapolis: Men of Courage,2016,2h 8min,30,5.3,177,37,Mario Van Peebles,Cam Cannon,Hannibal Media,40000000,0,2158568,2.39 : 1,128
823,823,Johnny Mnemonic,1995,1h 43min,36,5.7,168,119,Robert Longo,William Gibson,TriStar Pictures,26000000,19075720,19075720,1.85 : 1,103
