,Titles,Released,MPAA,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio
1976,Field of Lost Shoes,2015,PG-13,1h 36min,28,5.8,51,8,Sean McNamara,Thomas Farrell,Tredegar Film Works,"$6,000,000 ",,,
1977,Hard Night Falling,2019,R,1h 25min,,3.4,18,10,Giorgio Bruno,Alessandro Riccardi,Sun Film Group,"$2,000,000 ",,,2.35 : 1
1978,Tom yum goong 2,2013,R,1h 44min,45,5.3,67,63,Prachya Pinkaew,Eakasit Thairaat,Sahamongkolfilm Co.,,"$2,463","$3,399,790",2.35 : 1
1979,Maniac Cop 3: Badge of Silence,1992,R,1h 25min,,5.0,41,57,William Lustig,Larry Cohen,NEO Motion Pictures,,,,2.35 : 1
1980,Altitude,2017,R,1h 28min,,3.9,74,24,Alex Merkin,Tyler W. Konney,Switzer Entertainment Group,,,"$34,174",2.35 : 1
1981,The Good Thief,2002,R,1h 49min,68,6.5,103,105,Neil Jordan,Auguste Le Breton,Alliance Atlantis Communications,"$30,000,000 ","$3,517,797","$5,756,945",1.85 : 1
1982,Bandolero!,1968,PG-13,1h 46min,,6.6,59,29,Andrew V. McLaglen,James Lee Barrett,Twentieth Century Fox,"$4,450,000 ",,,2.35 : 1
1983,Xin Shao Lin si,2011,R,2h 11min,53,6.9,47,67,Benny Chan,Alan Yuen,Emperor Classic Films,"$29,000,000 ","$66,099","$42,982,973",2.35 : 1
1984,Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono,2005,PG-13,1h 45min,,7.4,34,13,Seiji Mizushima,Hiromu Arakawa,Aniplex,,,"$10,197,984",1.85 : 1
1985,Fled,1996,R,1h 38min,,5.4,,,Kevin Hooks,Preston A. Whitmore II,Metro-Goldwyn-Mayer (MGM),"$25,000,000 ","$17,193,231","$17,193,231",1.85 : 1
1986,MindGamers,2015,R,1h 37min,,3.6,34,15,Andrew Goth,Joanne Reay,Terra Mater Factual Studios,,,"$43,750",
1987,Xi you ji zhi nü er guo,2018,13+,1h 54min,51,5.5,16,18,Soi Cheang,Ning Wen,Film Workshop,"$73,000,000 ","$187,074","$115,084,576",1.85 : 1
1988,Red Riding Hood,2006,PG,1h 22min,,3.7,,,Randal Kleiser,Timothy Dolan,Tag Entertainment,"$1,600,000 ",,,
1989,Operation Dumbo Drop,1995,PG,1h 47min,,5.1,,,Simon Wincer,James Morris,Walt Disney Pictures,,"$24,670,346","$24,670,346",2.39 : 1
1990,Blast,1997,R,1h 39min,,4.3,,,Albert Pyun,Albert Pyun,Cruel Stories Inc.,"$700,000 ",,,2.35 : 1
