,Titles,Released,MPAA,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio
331,Quantum of Solace,2008,PG-13,1h 46min,58,6.6,1.3K,238,Marc Forster,Paul Haggis,Metro-Goldwyn-Mayer (MGM),"$200,000,000 ","$168,368,427","$589,580,482",2.39 : 1
332,Walking Tall,2004,PG-13,1h 26min,44,6.3,230,119,Kevin Bray,Mort Briskin,Metro-Goldwyn-Mayer (MGM),"$46,000,000 ","$46,437,717","$57,223,890",2.35 : 1
333,Gods of Egypt,2016,13+,2h 7min,25,5.4,520,217,Alex Proyas,Matt Sazama,Pyramania,"$140,000,000 ","$31,153,464","$150,680,864",2.35 : 1
334,Godzilla,2014,PG-13,2h 3min,62,6.4,1.7K,665,Gareth Edwards,Ishirô Honda,Warner Bros.,"$160,000,000 ","$200,676,069","$524,976,069",2.39 : 1
335,The Dark Tower,2017,13+,1h 35min,34,5.6,865,357,Nikolaj Arcel,Akiva Goldsman,Columbia Pictures,"$60,000,000 ","$50,701,325","$113,231,078",2.39 : 1
336,Sucker Punch,2011,PG-13,1h 50min,33,6.0,1K,468,Zack Snyder,Zack Snyder,Warner Bros.,"$82,000,000 ","$36,392,502","$89,792,502",2.39 : 1
337,Speed,1994,R,1h 56min,78,7.2,496,144,Jan de Bont,Graham Yost,The Mark Gordon Company,"$30,000,000 ","$121,248,145","$350,448,145",2.39 : 1
338,Underwater,2020,PG-13,1h 35min,48,5.8,1K,255,William Eubank,Brian Duffield,Chernin Entertainment,"$80,000,000 ","$17,291,078","$40,882,928",2.39 : 1
339,The Lego Batman Movie,2017,PG,1h 44min,75,7.3,345,404,Chris McKay,Seth Grahame-Smith,Animal Logic,"$80,000,000 ","$175,750,384","$311,950,384",2.35 : 1
340,21 Jump Street,2012,R,1h 49min,69,7.2,428,393,Phil Lord,Michael Bacall,Columbia Pictures,"$42,000,000 ","$138,447,667","$201,585,328",2.35 : 1
341,Waterworld,1995,PG-13,2h 15min,56,6.2,414,134,Kevin Reynolds,Peter Rader,Universal Pictures,"$175,000,000 ","$88,246,220","$264,218,220",1.85 : 1
342,American Assassin,2017,17+,1h 51min,45,6.2,480,225,Michael Cuesta,Stephen Schiff,CBS Films,"$33,000,000 ","$36,249,674","$67,234,188",2.35 : 1
343,King Kong,2005,PG-13,3h 7min,81,7.2,2.7K,234,Peter Jackson,Fran Walsh,Universal Pictures,"$207,000,000 ","$218,080,025","$562,363,449",2.39 : 1
344,American Ultra,2015,R,1h 36min,50,6.1,260,277,Nima Nourizadeh,Max Landis,PalmStar Media,"$28,000,000 ","$14,440,985","$27,262,374",1.85 : 1
345,Angel Has Fallen,2019,17+,2h 1min,45,6.4,758,195,Ric Roman Waugh,Robert Mark Kamen,Millennium Media,"$40,000,000 ","$69,030,436","$146,661,977",2.39 : 1
346,Man on Fire,2004,R,2h 26min,47,7.7,812,158,Tony Scott,A.J. Quinnell,Fox 2000 Pictures,"$70,000,000 ","$77,911,774","$130,834,852",2.35 : 1
347,Resident Evil,2002,R,1h 40min,33,6.7,1.2K,230,Paul W.S. Anderson,Paul W.S. Anderson,Constantin Film,"$33,000,000 ","$40,119,709","$102,984,862",1.85 : 1
348,Outlaw King,2018,R,2h 1min,59,6.9,471,125,David Mackenzie,Bathsheba Doran,Sigma Films,"$120,000,000 ",,,2.39 : 1
349,The Losers,2010,PG-13,1h 37min,44,6.3,249,178,Sylvain White,Peter Berg,Warner Bros.,"$25,000,000 ","$23,591,432","$29,397,654",2.35 : 1
350,Falling Down,1993,R,1h 53min,56,7.6,482,96,Joel Schumacher,Ebbe Roe Smith,Alcor Films,"$25,000,000 ","$40,903,593","$40,903,593",2.39 : 1
351,Pokémon: Detective Pikachu,2019,SU,1h 44min,53,6.6,951,294,Rob Letterman,Dan Hernandez,Warner Bros.,"$150,000,000 ","$144,105,346","$433,921,300",2.39 : 1
352,Natural Born Killers,1994,21+,1h 58min,74,7.3,658,166,Oliver Stone,Quentin Tarantino,Warner Bros.,"$34,000,000 ","$50,282,766","$50,283,563",1.85 : 1
353,Fallen,1998,R,2h 4min,,7.0,283,68,Gregory Hoblit,Nicholas Kazan,Turner Pictures (I),,"$25,232,289","$25,232,289",2.39 : 1
354,I Am Legend,2007,PG-13,1h 41min,65,7.2,1.5K,338,Francis Lawrence,Mark Protosevich,Warner Bros.,"$150,000,000 ","$256,393,010","$585,410,052",2.35 : 1
355,Oblivion,2013,PG-13,2h 4min,54,7.0,1K,567,Joseph Kosinski,Karl Gajdusek,Universal Pictures,"$120,000,000 ","$89,107,235","$286,168,572",2.39 : 1
356,The Last Samurai,2003,R,2h 34min,55,7.7,1K,173,Edward Zwick,John Logan,Warner Bros.,"$140,000,000 ","$111,127,263","$454,627,263",2.39 : 1
357,Incredibles 2,2018,SU,1h 58min,80,7.6,1.1K,403,Brad Bird,Brad Bird,Walt Disney Pictures,"$200,000,000 ","$608,581,744","$1,244,639,527",2.39 : 1
358,Pacific Rim,2013,PG-13,2h 11min,65,6.9,1.2K,614,Guillermo del Toro,Travis Beacham,Warner Bros.,"$190,000,000 ","$101,802,906","$411,002,906",1.85 : 1
359,The Commuter,2018,17+,1h 44min,56,6.3,518,292,Jaume Collet-Serra,Byron Willinger,StudioCanal,"$30,000,000 ","$36,343,858","$119,942,387",2.39 : 1
360,The Karate Kid,2010,PG,2h 20min,61,6.2,509,271,Harald Zwart,Christopher Murphey,Columbia Pictures,"$40,000,000 ","$176,591,618","$359,126,022",2.39 : 1
361,Star Wars: Episode III - Revenge of the Sith,2005,D,2h 20min,68,7.5,3.6K,398,George Lucas,George Lucas,Lucasfilm,"$113,000,000 ","$380,270,577","$868,390,560",2.39 : 1
362,Batman Returns,1992,PG-13,2h 6min,68,7.0,719,194,Tim Burton,Bob Kane,Warner Bros.,"$80,000,000 ","$162,902,340","$266,892,996",1.85 : 1
363,Thunder Force,2021,PG-13,1h 46min,34,4.4,993,130,Ben Falcone,Ben Falcone,Marc Platt Productions,,,,2.39:1
364,American Sniper,2014,R,2h 13min,72,7.3,1K,529,Clint Eastwood,Jason Hall,Warner Bros.,"$58,800,000 ","$350,126,372","$547,426,372",2.39 : 1
365,Occupation: Rainfall,2020,R,2h 8min,,5.6,296,33,Luke Sparke,Luke Sparke,Occupation Two Productions,,,"$343,414",2.35 : 1
366,Adrift,2018,13+,1h 36min,56,6.6,306,198,Baltasar Kormákur,Aaron Kandell,Huayi Brothers,"$35,000,000 ","$31,445,012","$59,945,012",2.39 : 1
367,Dredd,2012,D,1h 35min,60,7.1,803,479,Pete Travis,John Wagner,DNA Films,"$50,000,000 ","$13,414,714","$41,037,742",2.35 : 1
368,Hansel & Gretel: Witch Hunters,2013,R,1h 28min,23,6.1,361,370,Tommy Wirkola,Tommy Wirkola,Paramount Pictures,"$50,000,000 ","$55,703,475","$226,349,749",2.35 : 1
369,San Andreas,2015,R,1h 54min,43,6.1,666,404,Brad Peyton,Carlton Cuse,New Line Cinema,"$110,000,000 ","$155,190,832","$473,990,832",2.39 : 1
370,Everest,2015,PG-13,2h 1min,64,7.1,362,395,Baltasar Kormákur,William Nicholson,Working Title Films,"$55,000,000 ","$43,482,270","$203,427,584",2.39 : 1
371,Breach,2020,R,1h 32min,,3.1,692,42,John Suits,Edward Drake,308 Ent,,,"$39,328",2.39 : 1
372,Snow White and the Huntsman,2012,PG-13,2h 7min,57,6.1,796,436,Rupert Sanders,Evan Daugherty,Roth Films,"$170,000,000 ","$155,332,381","$396,592,829",2.39 : 1
373,Desperado,1995,R,1h 44min,55,7.2,223,96,Robert Rodriguez,Robert Rodriguez,Columbia Pictures,"$7,000,000 ","$25,405,445","$25,405,445",1.85 : 1
374,Munich,2005,R,2h 44min,,7.5,,,Steven Spielberg,Tony Kushner,Dreamworks Pictures,"$70,000,000 ","$47,403,685","$130,982,129",2.39 : 1
375,Kung Fu Panda 3,2016,SU,1h 35min,66,7.1,216,242,Alessandro Carloni,Jonathan Aibel,China Film Group Corporation (CFGC),"$145,000,000 ","$143,528,619","$521,170,825",2.39 : 1 (CinemaScope)
376,Spy,2015,R,2h,75,7.0,534,391,Paul Feig,Paul Feig,Twentieth Century Fox,"$65,000,000 ","$110,825,712","$235,666,219",2.35 : 1
377,Elysium,2013,R,1h 49min,61,6.6,952,513,Neill Blomkamp,Neill Blomkamp,TriStar Pictures,"$115,000,000 ","$93,050,117","$286,140,700",2.35 : 1
378,Live Free or Die Hard,2007,PG-13,2h 8min,69,7.1,857,374,Len Wiseman,John Carlin,Twentieth Century Fox,"$110,000,000 ","$134,529,403","$388,156,011",2.35 : 1
379,Congo,1995,17+,1h 49min,22,5.2,189,84,Frank Marshall,Michael Crichton,Paramount Pictures,"$50,000,000 ","$81,022,101","$152,022,101",1.85 : 1
380,Ender's Game,2013,PG-13,1h 54min,51,6.6,652,343,Gavin Hood,Gavin Hood,Summit Entertainment,"$110,000,000 ","$61,737,191","$125,544,024",2.35 : 1
381,The Great Wall,2016,R,1h 43min,42,5.9,513,293,Yimou Zhang,Carlo Bernard,Legendary East,"$150,000,000 ","$45,540,830","$334,933,831",2.39 : 1
382,The Crow,1994,R,1h 42min,71,7.6,640,158,Alex Proyas,James O'Barr,Crowvision Inc.,"$23,000,000 ","$50,693,129","$50,693,129",1.85 : 1
383,The Other Guys,2010,PG-13,1h 47min,64,6.6,431,282,Adam McKay,Adam McKay,Columbia Pictures,"$100,000,000 ","$119,219,978","$170,458,922",2.35 : 1
384,Bloodshot,2020,17+,1h 49min,44,5.7,838,209,Dave Wilson,Jeff Wadlow,Columbia Pictures,"$45,000,000 ","$12,561,824","$33,542,457",2.39 : 1
385,The House Next Door,2021,R,1h 37min,,3.6,30,10,Deon Taylor,Corey Harrell,Hidden Empire Film Group (HEFG),,"$2,893,660","$2,893,660",2.39 : 1
386,The Hunger Games: Mockingjay - Part 2,2015,PG-13,2h 17min,65,6.6,494,430,Francis Lawrence,Peter Craig,Lionsgate,"$160,000,000 ","$281,723,902","$658,344,137",2.35 : 1
387,The Rock,1996,R,2h 16min,58,7.4,503,136,Michael Bay,David Weisberg,Hollywood Pictures,"$75,000,000 ","$134,069,511","$335,062,621",2.39 : 1
388,Star Trek Into Darkness,2013,PG-13,2h 12min,72,7.7,1.2K,632,J.J. Abrams,Roberto Orci,Paramount Pictures,"$190,000,000 ","$228,778,661","$467,365,246",2.39 : 1
389,Force of Nature,2020,R,1h 31min,29,4.5,196,57,Michael Polish,Cory M. Miller,Emmett/Furla/Oasis Films (EFO Films),"$23,000,000 ",,"$638,221",2.39 : 1
390,Bad Boys,1995,R,1h 59min,41,6.9,301,79,Michael Bay,George Gallo,Don Simpson/Jerry Bruckheimer Films,"$19,000,000 ","$65,807,024","$141,407,024",1.85 : 1
391,Rambo: Last Blood,2019,17+,1h 29min,26,6.1,1.6K,259,Adrian Grunberg,Matthew Cirulnick,Lionsgate,"$50,000,000 ","$44,819,352","$91,490,353",2.39 : 1
392,Hitman,2007,R,1h 40min,35,6.3,420,205,Xavier Gens,Skip Woods,Twentieth Century Fox,"$24,000,000 ","$39,687,694","$101,276,318",2.35 : 1
393,Murder Mystery,2019,PG-13,1h 37min,38,6.0,870,89,Kyle Newacheck,James Vanderbilt,Netflix,,,,2.00 : 1
394,Fantastic Four,2015,PG-13,1h 40min,27,4.2,914,421,Josh Trank,Jeremy Slater,Twentieth Century Fox,"$120,000,000 ","$56,117,548","$167,882,881",2.35 : 1
395,The Bourne Legacy,2012,PG-13,2h 15min,61,6.6,594,459,Tony Gilroy,Tony Gilroy,Universal Pictures,"$125,000,000 ","$113,203,870","$276,144,750",2.39 : 1
396,Mortal Kombat,1995,PG-13,1h 41min,60,5.8,403,102,Paul W.S. Anderson,Ed Boon,New Line Cinema,"$18,000,000 ","$70,454,098","$122,195,920",1.85 : 1
397,Planet of the Apes,2001,PG-13,1h 59min,50,5.7,1.3K,229,Tim Burton,Pierre Boulle,Twentieth Century Fox,"$100,000,000 ","$180,011,740","$362,211,740",2.35 : 1
398,Lone Survivor,2013,R,2h 1min,60,7.5,526,352,Peter Berg,Peter Berg,Film 44,"$40,000,000 ","$125,095,601","$154,802,912",2.35 : 1
399,RocknRolla,2008,R,1h 54min,53,7.3,253,215,Guy Ritchie,Guy Ritchie,Warner Bros.,"$18,000,000 ","$5,700,626","$25,740,863",2.35 : 1
400,Inferno,2016,PG-13,2h 1min,42,6.2,440,223,Ron Howard,Dan Brown,Columbia Pictures,"$75,000,000 ","$34,343,574","$220,021,259",1.85 : 1
401,Independence Day: Resurgence,2016,13+,2h,32,5.2,955,383,Roland Emmerich,Nicolas Wright,Twentieth Century Fox,"$165,000,000 ","$103,144,286","$389,681,935",2.39 : 1
402,Layer Cake,2004,R,1h 45min,73,7.3,323,159,Matthew Vaughn,J.J. Connolly,Sony Pictures Classics,"£4,000,000 ","$2,339,957","$11,850,214",2.35 : 1
403,Tron,2010,PG,2h 5min,49,6.8,793,495,Joseph Kosinski,Edward Kitsis,Walt Disney Pictures,"$170,000,000 ","$172,062,763","$400,063,852",2.39 : 1
404,Dawn of the Dead,2004,R,1h 41min,59,7.3,1.1K,301,Zack Snyder,George A. Romero,Strike Entertainment,"$26,000,000 ","$59,020,957","$102,278,712",2.35 : 1
405,Jay and Silent Bob Reboot,2019,R,1h 45min,46,5.7,412,79,Kevin Smith,Kevin Smith,Destro Films,"$10,000,000 ","$4,589,490","$4,691,248",2.35 : 1
406,Face/Off,1997,R,2h 18min,82,7.2,650,152,John Woo,Mike Werb,Permut Presentations,"$80,000,000 ","$112,276,146","$245,676,146",2.39 : 1
407,Mononoke-hime,1997,PG-13,2h 14min,76,8.4,756,209,Hayao Miyazaki,Hayao Miyazaki,DENTSU Music And Entertainment,"¥2,400,000,000 ","$4,845,631","$169,785,704",1.85 : 1
408,Criminal,2016,R,1h 53min,36,6.3,245,163,Ariel Vromen,Douglas Cook,Summit Entertainment,"$31,500,000 ","$14,708,696","$38,803,993",2.35 : 1
409,Tag,2018,R,1h 40min,56,6.5,516,198,Jeff Tomsic,Rob McKittrick,Broken Road Productions,"$28,000,000 ","$54,730,625","$78,130,625",2.35 : 1
410,Hellboy,2004,PG-13,2h 2min,72,6.8,665,109,Guillermo del Toro,Guillermo del Toro,Revolution Studios,"$66,000,000 ","$59,623,958","$99,378,985",1.85 : 1
411,Triple Frontier,2019,R,2h 5min,61,6.4,984,140,J.C. Chandor,Mark Boal,Acquire Entertainment Group,,,,2.11 : 1
412,How to Train Your Dragon,2010,PG,1h 38min,75,8.1,672,195,Dean DeBlois,William Davies,DreamWorks Animation,"$165,000,000 ","$217,581,231","$494,879,471",2.35 : 1
413,Serenity,2005,PG-13,1h 59min,74,7.8,1.6K,206,Joss Whedon,Joss Whedon,Universal Pictures,"$39,000,000 ","$25,514,517","$40,445,129",2.35 : 1
414,Source Code,2011,PG-13,1h 33min,74,7.5,678,540,Duncan Jones,Ben Ripley,Summit Entertainment,"$32,000,000 ","$54,712,227","$147,332,697",1.85 : 1
415,Jack Reacher: Never Go Back,2016,13+,1h 58min,47,6.1,420,305,Edward Zwick,Richard Wenk,Paramount Pictures,"$60,000,000 ","$58,697,076","$162,146,076",2.35 : 1
416,Big Hero 6,2014,13+,1h 42min,74,7.8,590,421,Don Hall,Jordan Roberts,FortyFour Studios,"$165,000,000 ","$222,527,828","$657,869,686",2.39 : 1
417,After Earth,2013,PG-13,1h 40min,33,4.8,888,375,M. Night Shyamalan,Gary Whitta,Columbia Pictures,"$130,000,000 ","$60,522,097","$243,611,982",2.35 : 1
418,Rampage,2018,13+,1h 47min,45,6.1,729,330,Brad Peyton,Ryan Engle,New Line Cinema,"$120,000,000 ","$101,028,233","$428,028,233",2.39 : 1
419,Transformers: Revenge of the Fallen,2009,PG-13,2h 29min,35,6.0,1.5K,381,Michael Bay,Ehren Kruger,Dreamworks Pictures,"$200,000,000 ","$402,111,870","$836,303,693",2.39 : 1
420,Death Wish,2018,21+,1h 47min,31,6.3,683,260,Eli Roth,Joe Carnahan,Cave 76,"$30,000,000 ","$34,017,028","$49,562,710",2.39 : 1
421,We Can Be Heroes,2020,PG,1h 40min,51,4.7,351,55,Robert Rodriguez,Robert Rodriguez,Double R Productions (II),,,,1.85 : 1
422,Kung Fu Panda 2,2011,PG,1h 30min,67,7.2,262,290,Jennifer Yuh Nelson,Jonathan Aibel,DreamWorks Animation,"$150,000,000 ","$165,249,063","$665,692,281",2.39 : 1
423,Olympus Has Fallen,2013,R,1h 59min,41,6.5,828,391,Antoine Fuqua,Creighton Rothenberger,Millennium Films,"$70,000,000 ","$98,925,640","$170,270,201",2.39 : 1
424,The Italian Job,2003,PG-13,1h 51min,68,7.0,551,173,F. Gary Gray,Troy Kennedy-Martin,Paramount Pictures,"$60,000,000 ","$106,128,601","$176,070,171",2.39 : 1
425,The Shallows,2016,13+,1h 26min,59,6.3,563,410,Jaume Collet-Serra,Anthony Jaswinski,Columbia Pictures,"$17,000,000 ","$55,124,043","$119,100,758",2.35 : 1
426,American Made,2017,21+,1h 55min,65,7.2,343,330,Doug Liman,Gary Spinelli,Cross Creek Pictures,"$50,000,000 ","$51,342,000","$134,866,593",1.85 : 1
427,Hulk,2003,PG-13,2h 18min,54,5.6,1.5K,284,Ang Lee,Stan Lee,Universal Pictures,"$137,000,000 ","$132,177,234","$245,285,165",1.85 : 1
428,Hercules,2014,PG-13,1h 38min,47,6.0,314,262,Brett Ratner,Ryan J. Condal,Paramount Pictures,"$100,000,000 ","$72,688,614","$244,819,862",2.35 : 1
429,10 Cloverfield Lane,2016,PG-13,1h 43min,76,7.2,813,527,Dan Trachtenberg,Josh Campbell,Paramount Pictures,"$15,000,000 ","$72,082,998","$110,216,998",2.35 : 1
430,The Wolverine,2013,PG-13,2h 6min,61,6.7,647,476,James Mangold,Mark Bomback,Twentieth Century Fox,"$120,000,000 ","$132,556,852","$414,828,246",2.39 : 1
431,Unknown,2011,PG-13,1h 53min,56,6.8,427,367,Jaume Collet-Serra,Oliver Butcher,Dark Castle Entertainment,"$30,000,000 ","$63,686,397","$135,710,029",2.39 : 1
432,Rush Hour,1998,PG-13,1h 38min,60,7.0,360,85,Brett Ratner,Ross LaManna,New Line Cinema,"$33,000,000 ","$141,186,864","$244,721,064",2.39 : 1
433,Slaughterhouse Rulez,2018,R,1h 44min,39,5.3,182,62,Crispian Mills,Crispian Mills,Catalyst Global Media,,"$4,665","$730,762",2.39:1
434,Maleficent,2014,PG,1h 37min,56,7.0,827,436,Robert Stromberg,Linda Woolverton,Jolie Pas,"$180,000,000 ","$241,410,378","$758,411,779",2.35 : 1
435,Embattled,2020,R,1h 57min,56,6.5,47,19,Nick Sarkisov,David McKenna,Blitz Films,,"$32,259","$32,259",
436,Mission: Impossible - Rogue Nation,2015,PG-13,2h 11min,75,7.4,553,514,Christopher McQuarrie,Bruce Geller,Paramount Pictures,"$150,000,000 ","$195,042,377","$682,716,636",2.39 : 1
437,The Count of Monte Cristo,2002,PG-13,2h 11min,61,7.7,619,116,Kevin Reynolds,Alexandre Dumas,Touchstone Pictures,"$35,000,000 ","$54,234,062","$75,395,048",1.85 : 1
438,Maze Runner: The Death Cure,2018,13+,2h 23min,50,6.3,481,200,Wes Ball,T.S. Nowlin,Gotham Group,"$62,000,000 ","$58,032,443","$288,175,335",2.39 : 1
439,Brothers,2009,R,1h 45min,58,7.1,247,211,Jim Sheridan,David Benioff,Lionsgate,"$26,000,000 ","$28,544,157","$43,474,578",2.35 : 1
440,Skyscraper,2018,13+,1h 42min,51,5.8,847,301,Rawson Marshall Thurber,Rawson Marshall Thurber,Legendary Entertainment,"$125,000,000 ","$68,420,120","$304,868,961",2.39 : 1
441,The Hunger Games: Mockingjay - Part 1,2014,PG-13,2h 3min,64,6.6,629,434,Francis Lawrence,Peter Craig,Lionsgate,"$125,000,000 ","$337,135,885","$755,356,711",2.35 : 1
442,Alien³,1992,R,1h 54min,59,6.5,967,267,David Fincher,Dan O'Bannon,Twentieth Century Fox,"$50,000,000 ","$55,473,545","$159,814,498",2.39 : 1
443,Mortal Engines,2018,13+,2h 8min,44,6.1,1.1K,227,Christian Rivers,Fran Walsh,Media Rights Capital (MRC),"$100,000,000 ","$15,951,040","$83,869,818",2.39 : 1
444,Atomic Blonde,2017,21+,1h 55min,63,6.7,789,463,David Leitch,Kurt Johnstad,Focus Features,"$30,000,000 ","$51,687,870","$100,014,025",2.39 : 1
445,The Expendables,2010,R,1h 43min,45,6.5,787,448,Sylvester Stallone,Dave Callaham,Millennium Films,"$80,000,000 ","$103,068,524","$274,470,394",2.35 : 1
446,Upgrade,2018,R,1h 40min,67,7.5,1.2K,259,Leigh Whannell,Leigh Whannell,Goalpost Pictures,"$5,000,000 ","$11,977,130","$16,706,680",2.35 : 1
447,We Were Soldiers,2002,R,2h 18min,65,7.2,792,152,Randall Wallace,Harold G. Moore,Icon Entertainment International,"$75,000,000 ","$78,122,718","$115,374,915",2.35 : 1
448,The Chronicles of Riddick,2004,R,1h 59min,,6.7,,,David Twohy,Jim Wheat,Universal Pictures,"$105,000,000 ","$57,761,012","$115,900,534",2.35 : 1
449,Akira,1988,R,2h 4min,,8.0,575,137,Katsuhiro Ôtomo,Katsuhiro Ôtomo,Akira Committee Company Ltd.,"¥1,100,000,000 ","$553,171","$2,562,351",1.85 : 1
450,Deep Blue Sea,1999,R,1h 45min,54,5.9,718,199,Renny Harlin,Duncan Kennedy,Warner Bros.,"$60,000,000 ","$73,648,142","$164,648,142",2.39 : 1
451,Crank,2006,R,1h 28min,57,6.9,485,178,Mark Neveldine,Mark Neveldine,Lakeshore Entertainment,"$12,000,000 ","$27,838,408","$42,931,041",
452,The Warriors,1979,R,1h 32min,65,7.6,494,152,Walter Hill,Sol Yurick,Paramount Pictures,"$4,000,000 ","$22,490,039","$22,490,471",1.85 : 1
453,Spy Kids,2001,13+,1h 28min,71,5.5,225,126,Robert Rodriguez,Robert Rodriguez,Dimension Films,"$35,000,000 ","$112,719,001","$147,934,180",1.85 : 1
454,White House Down,2013,PG-13,2h 11min,52,6.3,519,350,Roland Emmerich,James Vanderbilt,Columbia Pictures,"$150,000,000 ","$73,103,784","$205,366,737",2.39 : 1
455,Hitman: Agent 47,2015,D,1h 36min,28,5.7,226,142,Aleksander Bach,Skip Woods,Twentieth Century Fox,"$35,000,000 ","$22,467,450","$82,347,656",2.35 : 1
456,Terminator 3: Rise of the Machines,2003,R,1h 49min,66,6.3,1.7K,292,Jonathan Mostow,John Brancato,C-2 Pictures,"$200,000,000 ","$150,371,112","$433,371,112",2.39 : 1
457,Fantastic Four,2005,PG-13,1h 46min,40,5.7,1K,116,Tim Story,Mark Frost,Twentieth Century Fox,"$100,000,000 ","$154,696,080","$333,535,934",2.35 : 1
458,Con Air,1997,R,1h 55min,52,6.9,425,137,Simon West,Scott Rosenberg,Touchstone Pictures,"$75,000,000 ","$101,117,573","$224,012,234",2.39 : 1
459,Mission: Impossible - Ghost Protocol,2011,PG-13,2h 12min,73,7.4,610,466,Brad Bird,Bruce Geller,Paramount Pictures,"$145,000,000 ","$209,397,903","$694,713,380",2.39 : 1
460,Southpaw,2015,R,2h 4min,57,7.4,371,348,Antoine Fuqua,Kurt Sutter,Escape Artists,"$30,000,000 ","$52,421,953","$91,970,827",2.35 : 1
461,Jungle,2017,R,1h 55min,48,6.7,241,97,Greg McLean,Yossi Ghinsberg,Babber Films,,,"$1,906,640",2.35 : 1
462,The A-Team,2010,PG-13,1h 57min,47,6.7,417,331,Joe Carnahan,Joe Carnahan,Twentieth Century Fox,"$110,000,000 ","$77,222,099","$177,238,796",2.35 : 1
463,The Bourne Supremacy,2004,PG-13,1h 48min,,7.7,,,Paul Greengrass,Robert Ludlum,Universal Pictures,"$75,000,000 ","$176,241,941","$290,835,269",2.39 : 1
464,Chappie,2015,R,2h,41,6.8,800,395,Neill Blomkamp,Neill Blomkamp,Columbia Pictures,"$49,000,000 ","$31,569,268","$102,811,889",2.35 : 1
465,Space Cowboys,2000,PG-13,2h 10min,73,6.4,361,143,Clint Eastwood,Ken Kaufman,Clipsal Films,"$65,000,000 ","$90,464,773","$128,884,132",2.39 : 1
466,Mission: Impossible III,2006,PG-13,2h 6min,66,6.9,936,329,J.J. Abrams,Alex Kurtzman,Paramount Pictures,"$150,000,000 ","$134,029,801","$398,479,497",2.35 : 1
467,Underworld: Evolution,2006,R,1h 46min,36,6.7,535,100,Len Wiseman,Danny McBride,Screen Gems,"$50,000,000 ","$62,318,875","$111,476,513",2.35 : 1
468,Outside the Wire,2021,R,1h 54min,45,5.4,741,127,Mikael Håfström,Rob Yescombe,Netflix,,,,2.39 : 1
469,Oldboy,2013,21+,1h 44min,49,5.7,320,266,Spike Lee,Garon Tsuchiya,Good Universe,"$30,000,000 ","$2,193,658","$5,186,767",2.35 : 1
470,This Means War,2012,PG-13,1h 43min,31,6.3,288,251,McG,Timothy Dowling,Overbrook Entertainment,"$65,000,000 ","$54,760,791","$156,491,279",2.35 : 1
471,Shaft,2019,R,1h 51min,40,6.4,370,120,Tim Story,Ernest Tidyman,Davis Entertainment,"$35,000,000 ","$21,360,215","$21,360,215",2.39 : 1
472,Journey 2: The Mysterious Island,2012,PG,1h 34min,41,5.8,209,186,Brad Peyton,Brian Gunn,New Line Cinema,"$79,000,000 ","$103,860,290","$335,260,290",1.78 : 1
473,Mission: Impossible II,2000,PG-13,2h 3min,,6.1,,,John Woo,Bruce Geller,Paramount Pictures,"$125,000,000 ","$215,409,889","$546,388,108",2.39 : 1
474,John Carter,2012,PG-13,2h 12min,51,6.6,935,444,Andrew Stanton,Andrew Stanton,Walt Disney Pictures,"$250,000,000 ","$73,078,100","$284,139,100",2.35 : 1
475,Centurion,2010,R,1h 37min,62,6.3,247,207,Neil Marshall,Neil Marshall,Pathé Pictures International,"$12,000,000 ","$123,570","$6,890,432",2.35 : 1
476,The Island,2005,PG-13,2h 16min,50,6.8,977,270,Michael Bay,Caspian Tredwell-Owen,Dreamworks Pictures,"$126,000,000 ","$35,818,913","$162,949,164",2.39 : 1
477,Pitch Black,2000,R,1h 49min,49,7.1,848,145,David Twohy,Jim Wheat,Polygram Filmed Entertainment,"$23,000,000 ","$39,240,659","$53,187,659",2.39 : 1
478,Redemption Day,2021,R,1h 39min,22,6.2,1K,21,Hicham Hajji,Hicham Hajji,H Films,,,"$106,365",2.35 : 1
479,X-Men: The Last Stand,2006,PG-13,1h 44min,58,6.7,1.9K,353,Brett Ratner,Simon Kinberg,Twentieth Century Fox,"$210,000,000 ","$234,362,462","$460,435,291",2.39 : 1
480,Becky,2020,R,1h 33min,54,5.9,396,148,Jonathan Milott,Nick Morris,Yale Productions,,"$1,003,700","$1,045,873",2.39 : 1
481,The Silencing,2020,R,1h 33min,,6.2,218,50,Robin Pront,Micah Ranum,Anova Pictures,,"$100,746","$170,653",2.39:1
482,Mile 22,2018,17+,1h 34min,38,6.1,908,207,Peter Berg,Graham Roland,STX Entertainment,"$50,000,000 ","$36,108,758","$66,308,758",2.39 : 1
483,Jurassic Park III,2001,PG-13,1h 32min,42,5.9,1.3K,233,Joe Johnston,Michael Crichton,Universal Pictures,"$93,000,000 ","$181,171,875","$368,780,809",
484,Revenge,2017,R,1h 48min,81,6.4,454,239,Coralie Fargeat,Coralie Fargeat,M.E.S. Productions,,"$102,091","$913,331",2.39 : 1
485,Total Recall,2012,PG-13,1h 58min,43,6.2,630,426,Len Wiseman,Kurt Wimmer,Total Recall,"$125,000,000 ","$58,877,969","$198,467,168",2.35 : 1
486,Blade: Trinity,2004,R,1h 53min,38,5.8,562,96,David S. Goyer,David S. Goyer,New Line Cinema,"$65,000,000 ","$52,411,906","$131,977,904",2.39 : 1
